date,M032,M040,M142,M196,M419,M421,M422,M423,M428,M481,M666,M738,M420
02/03/1985,0.047105893,0.2828669,0.5905775,0.2992987,0.008617578,0.72837555,0.047105893,0.30627224,0.063663945,0.18049793,0.008617578,0.973264,0.6482585
03/03/1985,1.8275261,32.26347,6.5728197,5.9785266,0.30471757,2.2251096,1.8275261,1.5262568,0.8143846,8.69402,0.30471757,8.185298,0.85864186
04/03/1985,0.2766656,0.4698882,1.5806991,0.6322624,0.2163412,1.2574046,0.2766656,0.5324124,0.11963504,0.43179354,0.2163412,1.4022115,0.53939486
05/03/1985,0.40078327,0.09979706,0.33397275,0.25312632,0.48086193,2.1960573,0.40078327,2.291205,0.20616978,0.16332553,0.48086193,0.29828906,3.6711023
06/03/1985,0.058653057,0.08714056,0.15302593,0.051874824,0.056851167,0.06904578,0.058653057,0.06339321,0.041151218,0.06818333,0.056851167,0.15554534,0.050833922
07/03/1985,0.10560896,0.13409486,0.19052076,0.06061813,0.04790648,0.02577797,0.10560896,0.03604285,0.12254552,0.10067035,0.04790648,0.09239787,0.01358813
08/03/1985,0.0361825,0.123678245,0.11226325,0.014595746,0.040852506,0.039321363,0.0361825,0.08528727,0.053153094,0.016839093,0.040852506,0.002917407,0.095113225
09/03/1985,0.0514779,0.15558949,0.057385474,0.029251037,0.027685607,0.051761296,0.0514779,0.026403097,0.07201702,0.038926087,0.027685607,0.07201979,0.04024293
10/03/1985,3.005561,0.614417,3.640848,2.5062034,3.7050757,3.50373,3.005561,3.8313587,3.7877004,0.9874932,3.7050757,2.9897113,4.181784
11/03/1985,1.4395862,11.012266,5.239789,3.7440531,0.9579878,2.4902763,1.4395862,1.7024908,1.9224193,27.236244,0.9579878,13.816132,1.527484
12/03/1985,23.696976,5.5163126,18.721191,16.373943,33.470074,19.713717,23.696976,20.508938,14.797426,7.258788,33.470074,15.165982,19.767107
13/03/1985,1.5645878,0.24289595,3.2457092,1.8116285,1.2112921,4.621627,1.5645878,4.80816,0.6354112,0.66513693,1.2112921,1.9937198,5.3006682
14/03/1985,3.8997242,68.129814,7.09255,20.013975,2.826416,4.2225885,3.8997242,2.6032224,21.390957,51.013256,2.826416,35.494183,2.034409
15/03/1985,11.05702,1.6268501,6.2698846,5.451861,19.229149,8.558753,11.05702,9.245354,7.4850454,2.4262207,19.229149,3.021059,9.263312
16/03/1985,0.021445327,0.07704649,0.060687732,0.012126291,0.04098558,0.057753835,0.021445327,0.03649048,0.009884223,0.007348449,0.04098558,0.07878145,0.037633486
17/03/1985,0.007121743,0.023015846,0.060814433,0.00892369,0.0054255,0.011465747,0.007121743,0.005600807,0.011616674,0.025345836,0.0054255,0.038388252,0.004092518
18/03/1985,0.029510004,0.06994983,0.8021962,0.11600635,0.039412357,0.30768198,0.029510004,0.10538907,0.023230571,0.10125952,0.039412357,0.25254357,0.1833717
19/03/1985,0.8733062,0.8817204,5.1851335,1.3270859,1.2449071,4.109704,0.8733062,2.3281543,0.58011764,0.72755027,1.2449071,2.032486,3.909102
20/03/1985,0.10721867,0.22572863,0.55535746,0.06809974,0.12575331,0.15897949,0.10721867,0.07825349,0.054950964,0.1318839,0.12575331,0.7088462,0.06897566
21/03/1985,0.13813674,0.006587204,0.01671966,0.035655495,0.3364747,0.20772909,0.13813674,0.26467767,0.0686114,0.016362527,0.3364747,0.003067322,1.0787126
22/03/1985,0.033210937,0.005465663,0.16517155,0.01832691,0.04962348,0.023917785,0.033210937,0.029573778,1.63E-16,0.026915543,0.04962348,0.018410513,0.02123476
23/03/1985,0.0674233,0.01463747,0.082308345,0.018119197,0.022486895,1.35E-16,0.0674233,0.032066993,1.27E-16,0.006482571,0.022486895,1.12E-16,0.03112074
24/03/1985,0.009714326,0.018048964,0.03985955,0.002396275,0.007332948,0.012446996,0.009714326,0.014977918,4.23E-16,0.003310193,0.007332948,0.001334673,0.011750922
25/03/1985,0.03348338,0.012968576,0.12615745,0.006032516,0.026711114,0.008607754,0.03348338,0.015525161,0.009415494,0.020409053,0.026711114,0.02264423,0.013523446
26/03/1985,1.0575714,0.03715822,1.5508322,0.8348632,0.7779704,1.7644479,1.0575714,2.285338,0.48911268,0.23733068,0.7779704,0.7089623,2.207065
27/03/1985,0.047886588,0.0515373,0.121042624,0.021159243,0.035305582,0.03963421,0.047886588,0.042953443,0.007150402,0.036280874,0.035305582,0.054052852,0.054473232
28/03/1985,1.2425869,0.22371316,1.2935822,1.1777507,0.3026318,1.0187536,1.2425869,0.89343286,0.46023598,0.48331133,0.3026318,1.091868,0.633217
29/03/1985,0.11615902,0.17178135,0.9339062,0.32430822,0.094738975,0.44813702,0.11615902,0.2496228,0.072429545,0.20270325,0.094738975,0.6240504,0.19314635
30/03/1985,0.14899516,0.41739294,3.3809752,0.33018544,0.11444987,0.54951143,0.14899516,0.19061416,0.1248395,0.44951522,0.11444987,1.3155023,0.16492513
31/03/1985,6.7297916,38.07162,16.348665,17.366747,4.5728917,14.978432,6.7297916,8.375631,17.817472,33.60595,4.5728917,24.187576,9.398039
01/04/1985,6.3826323,0.77307177,9.101274,5.112802,9.707128,7.9934216,6.3826323,8.12597,6.7052374,2.0336547,9.707128,4.7857685,8.397216
02/04/1985,0.4551559,3.2614043,2.460878,1.3655947,0.30100104,1.17934,0.4551559,0.7029716,0.86751235,1.1551678,0.30100104,2.2824173,0.71648365
03/04/1985,0.67687756,0.19796072,7.497699,0.8594483,2.725658,3.6638114,0.67687756,1.640259,1.6992582,0.35097677,2.725658,1.5408397,2.5305223
04/04/1985,22.452196,1.4461286,18.111427,19.414309,25.264189,22.270191,22.452196,23.629515,21.9841,9.976861,25.264189,14.156624,21.896294
05/04/1985,0.14587681,0.05903807,0.2782271,0.13199963,0.39680392,0.207216,0.14587681,0.17640097,0.15805964,0.10450492,0.39680392,0.25641578,0.19138482
06/04/1985,0.18589778,0.06761892,3.415523,0.3052347,1.1490662,2.9213243,0.18589778,1.0043163,0.65128297,0.23155229,1.1490662,0.42124414,2.566904
07/04/1985,0.63473433,0.6186362,8.882987,1.2787137,0.46773502,2.6649811,0.63473433,1.3317481,0.545465,0.84080714,0.46773502,2.4682186,1.0191531
08/04/1985,0.7826467,1.2737918,14.051938,1.9177884,0.53468114,4.86956,0.7826467,1.8123424,1.4008574,1.3604451,0.53468114,3.2555766,2.7425368
09/04/1985,0.019385276,0.07370112,0.16043127,0.028104348,0.05699987,0.02098117,0.019385276,0.05576856,0.026061598,0.045314796,0.05699987,0.075593956,0.0670795
10/04/1985,0.018583614,2.722602,0.02575916,0.21968791,0.001680051,0.003918024,0.018583614,0.008657121,0.12564029,0.44145024,0.001680051,0.33215424,0.004675888
11/04/1985,0.06023749,0.072000116,0.78383017,0.12935543,0.0709133,0.19177301,0.06023749,0.09280259,0.07485186,0.12669453,0.0709133,0.23948467,0.11260914
12/04/1985,0.5032958,0.025314132,7.570437,0.42483416,1.1283904,4.0784864,0.5032958,2.0808818,0.14580269,0.13503891,1.1283904,0.23903567,8.736985
13/04/1985,5.448475,0.06695554,9.553343,3.1783044,9.55383,6.4322944,5.448475,5.842551,2.1451359,0.46039864,9.55383,2.3322024,6.365672
14/04/1985,0.08583427,0.08017249,0.05891825,0.09133936,0.017730804,0.0435796,0.08583427,0.04663106,0.053581327,0.027714811,0.017730804,0.047045067,0.024761641
15/04/1985,0.001550119,0.002489846,0.01557119,0.001113146,5.07E-05,0.007201664,0.001550119,0.003797879,3.95E-06,0.001624918,5.07E-05,0.007658382,0.007780635
16/04/1985,0.07934433,0.06731698,0.27982375,0.05746248,0.08138547,0.09311002,0.07934433,0.06195641,0.048941318,0.062028993,0.08138547,0.052822005,0.07574232
17/04/1985,0.023448996,0.012700161,0.016267218,0.008779733,0.04869166,0.011700612,0.023448996,0.013363862,0.014534669,0.014337624,0.04869166,0.010886681,0.010718152
18/04/1985,0.115862995,0.114764825,1.5566466,0.25928998,0.10019948,0.65573525,0.115862995,0.33216813,0.07222235,0.15229738,0.10019948,0.5001379,0.332672
19/04/1985,0.042696744,0.023317838,0.2507238,0.0759166,0.043491926,0.12712619,0.042696744,0.102032095,0.022954803,0.054420892,0.043491926,0.07997826,0.087688334
20/04/1985,0.08423221,0.012383002,0.90964216,0.09860284,0.10038269,0.24525493,0.08423221,0.100876346,0.06356566,0.06500709,0.10038269,0.090761766,0.11387417
21/04/1985,0.10964269,0.043607626,0.02200265,0.048708167,0.028390797,0.002134926,0.10964269,0.006084853,0.031139666,0.025646497,0.028390797,0.05747722,0.025620908
22/04/1985,0.15371703,0.35890317,3.4086409,0.6729468,0.1050003,0.89084876,0.15371703,0.4050079,0.124899924,0.4296676,0.1050003,1.6499784,0.22545671
23/04/1985,0.1726607,1.1208335,0.34026194,0.21621732,0.09462285,0.23378214,0.1726607,0.19010207,0.17871091,0.4848485,0.09462285,0.66984546,0.19689529
24/04/1985,0.17704095,1.0862693,1.1846455,0.552973,0.18310277,0.41552395,0.17704095,0.26094553,0.2733194,0.55674857,0.18310277,1.0460111,0.20220983
25/04/1985,0.27460974,0.5998156,4.3987193,0.8323645,0.24877651,1.1750245,0.27460974,0.56574583,0.24669738,0.92587876,0.24877651,2.2424588,0.6359121
26/04/1985,0.5143935,3.5093322,1.1482738,0.9626314,0.49876872,0.5061654,0.5143935,0.42168775,0.81296057,1.0798166,0.49876872,1.6759093,0.43287042
27/04/1985,7.352482,0.046843547,0.4197065,2.1838572,15.865368,6.8189096,7.352482,9.407122,7.679276,0.3959166,15.865368,0.7248765,12.401005
28/04/1985,0.023690885,0.045990344,0.12088869,0.15035918,0.014404396,0.079143286,0.023690885,0.040432613,0.12134305,0.10042146,0.014404396,0.46358144,0.029198484
29/04/1985,0.06409824,0.006853171,0.050371774,0.014352104,0.06243962,2.46E-16,0.06409824,0.019977003,0.026102645,0.022034397,0.06243962,3.26E-16,0.017282875
30/04/1985,2.05E-16,0.013141545,1.66E-16,2.41E-16,0.004325036,1.95E-16,2.05E-16,2.06E-16,0.011856841,1.99E-16,0.004325036,2.49E-16,1.71E-16
01/05/1985,0.13315493,0,0.013853877,0.01858238,0.52072746,0.10976146,0.13315493,0.13616124,0.14854561,0.012474172,0.52072746,0.012639688,0.39248002
02/05/1985,0.004624742,0.01195503,0.02328579,0.010009781,0.01762081,0.005726221,0.004624742,0.005486521,0.014216915,0.013599856,0.01762081,0.013485425,0.005134712
03/05/1985,0.014546796,0.014927494,0.019331241,0.008941176,0.024292868,0.026740396,0.014546796,0.012727871,0.005844802,0.007014063,0.024292868,0.010541281,0.027235223
04/05/1985,0.048733946,0.092219725,0.63068074,0.12382169,0.013140436,0.08997525,0.048733946,0.06142689,0.014157237,0.12599128,0.013140436,0.24987979,0.04805368
05/05/1985,0.016378246,0.006803136,0.018663542,0.01535622,0.012050723,0.035012994,0.016378246,0.024615504,0.011306991,0.019452695,0.012050723,0.014231564,0.04322073
06/05/1985,0.017515207,0.009237974,0.010256022,0.017658826,0.002277257,0.010475583,0.017515207,0.012233241,0.007502863,0.012028356,0.002277257,0.015676215,0.011470779
07/05/1985,0.02496923,0.002335205,0.019896774,0.016793866,0.000426839,0.009420509,0.02496923,0.004913776,0.002089046,0.003192846,0.000426839,0.012850128,0.003937054
08/05/1985,0.10502734,0.30011374,0.16815613,0.36748388,0.053760003,0.12847744,0.10502734,0.08077757,0.21026273,0.34478995,0.053760003,0.46212637,0.07210331
09/05/1985,0.11885425,0.1650663,0.4998941,0.4180483,0.24133964,0.5233198,0.11885425,0.34585124,0.1892922,0.2180757,0.24133964,0.5458695,0.5433853
10/05/1985,0.94813365,0.5302745,3.9199815,1.1395786,2.153483,2.168769,0.94813365,1.505322,1.3747134,0.55815214,2.153483,1.1173013,3.0808637
11/05/1985,1.0268127,4.186817,6.5561676,2.674948,0.5511124,2.5477188,1.0268127,1.210453,2.2384741,3.9404342,0.5511124,3.7447772,0.9866664
12/05/1985,20.491518,1.1150459,3.5688288,11.067768,29.31862,24.522778,20.491518,32.474022,11.16575,4.815828,29.31862,7.781439,39.90453
13/05/1985,2.1741474,0.11180822,8.424235,2.0346916,1.3685172,6.4483438,2.1741474,3.1705115,1.3899995,0.5817657,1.3685172,3.159981,1.8680801
14/05/1985,0.26997402,0.11991799,1.3653766,0.42236617,0.19210213,0.9012263,0.26997402,0.45958495,0.2074264,0.18372671,0.19210213,0.45324135,0.5523126
15/05/1985,0.14149906,0.12069532,0.37922847,0.33186474,0.10378778,0.3148277,0.14149906,0.21309456,0.11074562,0.18917397,0.10378778,0.38291332,0.17039526
16/05/1985,37.376007,6.2131147,59.241722,32.83843,31.518728,44.525253,37.376007,40.22908,30.177284,16.410252,31.518728,25.692406,43.70311
17/05/1985,0.21271172,0.19888555,4.3487215,0.78740853,0.111699075,2.3453934,0.21271172,0.8691179,0.22510199,0.51573044,0.111699075,1.125581,0.8225898
18/05/1985,8.540884,1.3828169,8.773513,5.387088,20.34661,6.913449,8.540884,6.2345963,12.39151,3.1478305,20.34661,5.4938393,7.392134
19/05/1985,0.5929729,1.0328321,4.0056286,1.220901,0.42312625,1.7788132,0.5929729,0.9048254,0.87675625,0.70081955,0.42312625,1.6228262,1.0349352
20/05/1985,0.048934076,0.051829856,1.4255357,0.0826083,0.33757055,3.048015,0.048934076,1.4373436,0.051571682,0.06712194,0.33757055,0.18394148,3.9275377
21/05/1985,0.054888304,0.011365327,0.14427182,0.020941822,0.15761463,0.33496457,0.054888304,0.24848056,0.001212677,0.024548287,0.15761463,0.009125442,1.1141554
22/05/1985,0.07990073,0.08759909,0.37946585,0.14523302,0.13147253,0.23530005,0.07990073,0.14970176,0.09278828,0.06762841,0.13147253,1.718035,0.19035146
23/05/1985,0.13982509,0.034321845,1.4423858,0.21613282,0.1535635,0.548695,0.13982509,0.2571241,0.15536986,0.08638521,0.1535635,0.18728295,0.28392455
24/05/1985,0.03256298,0.004943418,0.7118204,0.06545966,0.045433104,0.2480478,0.03256298,0.08340207,0.046031605,0.039229568,0.045433104,0.08648228,0.087442845
25/05/1985,0.022225084,0.009072507,0.1678136,0.057402693,0.02337344,0.11507227,0.022225084,0.058118515,0.030661302,0.017211061,0.02337344,0.06510824,0.047009215
26/05/1985,0.16574155,0.022380322,2.1924224,0.23797116,0.14313008,0.81384933,0.16574155,0.30121556,0.16277388,0.107897274,0.14313008,0.22073245,0.33205464
27/05/1985,0.087561734,0.014827884,1.305123,0.23621553,0.07500343,0.65483254,0.087561734,0.28396234,0.08962256,0.054052487,0.07500343,0.2706269,0.20308001
28/05/1985,0.33842784,0.059149098,4.405531,0.7056259,0.3544626,2.1045632,0.33842784,0.98906595,0.2479002,0.23564684,0.3544626,0.8220566,0.79694253
29/05/1985,1.8284745,2.5015323,5.484919,2.4321973,3.5055676,3.687128,1.8284745,2.5487907,3.0786002,3.2185383,3.5055676,2.6136563,3.5293121
30/05/1985,0.04383563,0.052649263,0.6017364,0.10304791,0.041120853,0.37254083,0.04383563,0.15285847,0.046361618,0.038495753,0.041120853,0.12767264,0.19250879
31/05/1985,0.03229245,0.0114618,0.3034325,0.034581773,0.04149361,0.10892693,0.03229245,0.047437426,0.073200285,0.05109419,0.04149361,0.037694294,0.05275506
01/06/1985,0.010906896,0.003956561,0.010920392,0.008212847,0.009298726,0.00585297,0.010906896,0.01927874,0.002570263,0.013030886,0.009298726,0.009554205,0.019840453
02/06/1985,0.012216521,0.003491311,0.005803028,0.005662889,0.040360138,0.009978835,0.012216521,0.003484687,0.007893878,0.008918226,0.040360138,0.003819858,0.015616717
03/06/1985,0.13422449,2.067996,0.4838355,0.6377603,0.23902157,0.74851024,0.13422449,0.45673946,0.6575802,1.3265669,0.23902157,0.8132113,1.1028458
04/06/1985,6.2740426,8.971493,23.111443,7.167857,11.397056,15.13365,6.2740426,13.001463,5.1963496,6.1100783,11.397056,5.1960874,17.347595
05/06/1985,0.0594423,0.006438868,0.53374714,0.08937823,0.045130726,0.46831208,0.0594423,0.20907725,0.025718747,0.025666675,0.045130726,0.07234981,0.35839093
06/06/1985,0.06465866,0.2036898,0.071509235,0.024400963,0.04059774,0.025256885,0.06465866,0.020999674,0.014960295,0.12703791,0.04059774,0.012824669,0.033668883
07/06/1985,0.052401423,0,0.1461779,0.01568612,0.12098026,0.24055049,0.052401423,0.14935236,0.002016342,0.021998653,0.12098026,0.000777264,0.9751548
08/06/1985,0.002680549,0.021003088,0.050397452,0.004002267,0.001594707,0.013219094,0.002680549,0.005217275,0.001286417,0.007561794,0.001594707,0.002680957,0.006486628
09/06/1985,0.43390417,1.4858767,15.52626,1.266247,0.41251266,3.7638931,0.43390417,1.8176832,0.5276493,2.885903,0.41251266,2.1266673,0.736118
10/06/1985,0.019938244,0.00323444,0.20463689,0.030703934,0.022501316,0.03900737,0.019938244,0.028192088,0.023015369,0.018389022,0.022501316,0.028698914,0.024814349
11/06/1985,0.003110874,0,0,0.003361321,0.006455755,0.011768904,0.003110874,0.020180479,0.001339272,0,0.006455755,0,0.025564691
12/06/1985,0.002120272,0.001218425,1.43E-19,0.0001185,0.005391969,1.12E-19,0.002120272,1.13E-19,1.32E-19,0.00077587,0.005391969,1.26E-19,1.01E-19
13/06/1985,0.014479118,5.03E-18,0.003161554,0.005589249,5.65E-18,0.003916481,0.014479118,0.001992075,5.73E-18,4.46E-18,5.65E-18,4.55E-18,0.003027475
14/06/1985,0.057566367,0.018592054,0.18136023,0.045839112,0.0286919,0.054599218,0.057566367,0.027844785,0.02475414,0.018540172,0.0286919,0.027388418,0.03086163
15/06/1985,0.10179919,0.011930043,0.95834583,0.13696752,0.10441669,0.24859391,0.10179919,0.11254167,0.10767631,0.06066138,0.10441669,0.09334509,0.12181217
