date,M421,M422,M142,M420,M428,M419,M040
02/05/1985,22.65271,23.93183,18.9568,20.68863,18.7209,20.71501,29.63307
03/05/1985,19.68494,21.59156,18.99331,18.55513,17.17909,19.12002,28.54378
04/05/1985,20.4799,22.03515,19.37832,19.13911,17.31334,19.32029,28.8061
05/05/1985,19.78682,21.69285,19.88028,18.35702,17.02503,18.61696,28.59812
06/05/1985,21.53905,23.08914,19.35814,19.95037,17.90222,20.06919,28.55218
07/05/1985,21.45952,22.75382,19.27803,19.87082,17.81754,19.76811,29.01702
08/05/1985,21.32904,22.43493,18.164,19.66965,17.36966,19.26831,28.80242
09/05/1985,20.23452,21.14555,17.02054,18.84458,16.14538,18.21209,28.37986
10/05/1985,20.04255,20.84647,16.37713,18.88166,15.80461,17.86717,28.35593
11/05/1985,17.6684,18.71076,16.57751,17.70551,14.30888,16.89124,28.02625
12/05/1985,21.96479,23.18872,21.25823,21.08175,18.86049,20.80855,31.30083
13/05/1985,21.32781,22.34486,17.209,20.07002,17.5911,19.36756,30.3343
14/05/1985,19.09633,20.97505,17.22574,17.25946,16.75558,18.06604,29.40767
15/05/1985,17.87354,20.01679,18.22711,16.33263,16.20099,17.03973,28.70315
16/05/1985,20.92359,22.06794,18.80285,19.74004,17.49298,19.41593,29.5912
17/05/1985,23.6429,24.42292,17.34536,22.71662,19.41188,21.72133,31.19932
18/05/1985,22.6695,23.94044,20.06518,21.4592,19.61732,21.18378,31.04604
19/05/1985,17.25702,18.89501,15.74873,16.30548,14.7439,16.6487,28.10964
20/05/1985,23.5112,24.74627,21.57938,22.13737,19.89443,21.55763,31.22274
21/05/1985,20.57493,21.85433,20.12934,19.38117,16.93943,19.0233,28.59883
22/05/1985,22.21731,23.66498,19.46547,20.29607,18.53832,20.46631,29.20343
23/05/1985,23.13711,24.35336,17.29412,21.35294,19.20205,21.33548,30.65477
24/05/1985,19.21895,20.99807,17.86072,17.64159,16.41212,17.98033,28.8806
25/05/1985,20.37768,22.35293,17.2177,18.18044,17.38877,18.85338,28.86363
26/05/1985,20.78181,22.48449,16.28677,18.97546,17.56133,19.13377,29.61951
27/05/1985,20.09353,22.7123,16.33106,18.26356,18.47732,19.46293,29.97568
28/05/1985,17.7254,20.56014,16.83948,16.23522,16.71233,17.81655,28.49364
29/05/1985,21.9416,23.92007,15.66276,20.30545,19.09864,20.78716,30.38129
30/05/1985,22.20197,24.12264,16.11657,20.4095,19.40775,21.09002,30.47333
31/05/1985,19.57296,21.9758,17.11756,17.87368,17.81569,19.02491,29.86233
01/06/1985,22.9431,23.58264,17.19329,21.45228,18.70655,20.48952,29.25582
02/06/1985,24.77898,25.09627,15.98075,23.66783,20.18326,22.64915,30.08451
03/06/1985,21.97698,22.12693,17.28107,21.04742,17.80533,19.89549,28.59891
04/06/1985,22.74097,23.40501,19.27269,21.73815,19.0171,21.20855,28.97579
05/06/1985,24.05316,25.36167,19.23278,23.14895,20.99857,22.8109,30.90492
06/06/1985,21.82484,23.14708,18.53833,20.56875,18.97901,20.71223,29.21942
07/06/1985,23.08763,24.37701,17.88425,21.84179,20.3209,21.35766,30.6649
08/06/1985,20.52419,22.88506,17.17807,18.89158,19.66848,20.28275,31.06929
09/06/1985,16.82417,18.69334,14.8605,15.57756,15.79625,16.00179,29.70666
10/06/1985,20.3076,21.86534,14.14488,19.13238,18.48014,18.99526,30.5284
11/06/1985,21.0969,22.47484,18.98187,19.89338,18.33847,19.49622,29.23775
12/06/1985,21.90539,23.08379,19.60959,20.76862,18.53848,20.24187,28.56889
13/06/1985,21.77084,22.83794,19.954,20.60855,18.3305,19.96421,28.47954
14/06/1985,22.08115,23.98593,19.09422,20.45134,19.67405,21.181,29.50107
15/06/1985,21.08739,22.73496,16.82377,19.75276,18.69414,19.7914,29.78232
16/06/1985,21.62774,23.37164,13.74719,20.21323,19.20745,20.55846,28.96427
17/06/1985,19.96325,21.44137,14.52141,18.59189,17.38439,18.49156,28.4125
18/06/1985,19.92499,21.68546,14.33681,18.38115,17.80608,18.92521,29.44878
19/06/1985,19.50711,21.35868,15.1944,17.86826,17.57436,18.44621,28.01342
20/06/1985,20.57834,22.6519,16.46419,19.01381,18.86418,19.75717,29.28794
21/06/1985,21.12153,23.02465,17.11743,19.71672,18.86684,20.32562,28.16539
22/06/1985,21.23633,22.95643,16.00388,19.84975,18.89294,20.25887,28.73178
23/06/1985,21.12996,22.78547,14.67051,19.66849,18.69636,19.78436,29.67167
24/06/1985,21.82836,23.46412,13.63972,20.10126,18.68596,20.29368,28.01616
25/06/1985,21.61025,23.19407,14.84812,20.29238,18.56744,20.35053,27.51297
26/06/1985,21.34926,23.43993,13.43625,19.71578,19.24914,21.03611,27.94082
27/06/1985,21.71501,23.4743,13.12969,20.41811,20.0138,20.74191,30.65308
28/06/1985,23.21258,24.94102,16.10771,21.88592,20.60154,22.14133,30.0362
29/06/1985,22.81883,23.90141,18.49864,21.11306,18.91809,20.94064,27.99733
30/06/1985,21.38131,22.03687,21.82241,20.21712,17.26951,19.39685,26.92514
01/07/1985,23.21788,23.37666,19.0221,22.23956,18.94094,21.116,28.69076
02/07/1985,21.33083,22.28259,17.27594,19.78775,18.35128,19.96085,28.79203
03/07/1985,19.90174,20.7471,17.62796,18.6861,16.78813,18.55521,27.3584
04/07/1985,22.62812,23.4114,16.48603,21.40333,19.00372,21.12639,28.40389
05/07/1985,21.66683,22.85493,17.83221,20.41826,18.88349,20.60103,27.9481
06/07/1985,20.40977,22.34255,19.2604,19.06522,18.60718,20.0428,27.23905
07/07/1985,19.78763,20.94117,16.59408,18.82853,17.60509,18.72529,29.15048
08/07/1985,21.89607,22.68674,17.76844,20.59769,18.22408,20.06529,28.25089
09/07/1985,23.09813,24.0575,17.36928,21.38198,19.24111,21.10449,27.61724
10/07/1985,20.04311,21.46329,17.60206,18.76755,17.79488,18.94955,27.39437
11/07/1985,18.26452,19.89821,14.59168,17.56323,16.69447,17.57796,26.98411
12/07/1985,18.69884,20.31282,13.29009,17.84748,16.76102,17.95487,27.66383
13/07/1985,17.39959,19.07095,12.10678,16.73052,16.37507,16.88,28.69743
14/07/1985,17.57009,19.14752,12.62955,16.16749,15.63023,16.53942,26.40168
15/07/1985,18.85398,20.67019,11.99966,17.4924,17.38134,18.13935,27.97936
16/07/1985,18.15357,20.12509,13.70611,16.59659,16.94955,17.53023,27.75483
17/07/1985,18.71646,20.80016,13.21618,17.15028,17.34931,18.20757,28.4304
18/07/1985,19.7186,20.97893,12.14964,18.23715,16.99888,18.32803,27.5486
19/07/1985,18.57682,20.99471,14.40751,16.81809,17.8063,18.4204,28.53902
20/07/1985,18.37998,19.74227,12.49164,17.16715,16.16759,17.11826,27.79304
