date,M421,M422,M142,M420,M428,M419,M040
05/04/1985,12.92198,14.83413,2.897856,11.77149,10.78109,12.46228,25.18248
06/04/1985,13.70654,15.71521,1.618643,11.93856,11.30379,12.77618,26.25466
07/04/1985,13.68387,15.54677,1.851294,12.7815,11.39628,13.41143,26.54696
08/04/1985,13.7533,15.87574,1.722634,12.65307,11.64039,13.20078,26.28909
09/04/1985,13.06665,15.38355,2.481306,11.5019,11.51577,12.60949,26.93268
10/04/1985,12.72996,15.02056,1.72931,10.94463,11.05875,12.20418,26.94013
11/04/1985,13.66795,15.5633,1.384938,12.09489,11.58922,12.92818,26.73266
12/04/1985,13.34555,15.32807,1.905234,11.59551,10.99938,12.48591,25.84107
13/04/1985,13.37272,15.25721,1.537401,11.7642,11.09581,12.32721,26.12279
14/04/1985,12.6266,14.52592,2.592433,10.85494,10.7977,11.72957,25.71746
15/04/1985,13.86548,15.62585,2.571336,12.60678,11.37636,13.09432,26.12647
16/04/1985,13.35132,15.13274,1.452315,11.92313,11.12272,12.49498,25.79542
17/04/1985,14.18136,16.01876,2.67443,12.77753,11.75979,13.31497,25.79446
18/04/1985,13.32485,15.09802,1.719916,11.80009,10.90126,12.40692,25.50942
19/04/1985,13.89605,15.80331,1.658721,12.47096,11.46147,13.1094,25.95765
20/04/1985,14.04397,15.91865,1.135284,12.60812,11.54414,13.19066,26.07191
21/04/1985,13.40487,15.72787,1.912263,11.74009,11.77448,12.89627,26.95066
22/04/1985,13.97618,16.36365,1.624256,12.08277,12.10048,13.44247,26.20882
23/04/1985,14.10405,16.09476,1.795285,12.64691,11.8281,13.35618,26.15269
24/04/1985,14.3378,16.28765,2.042514,12.89405,11.92781,13.50318,26.93683
25/04/1985,13.46002,15.56161,1.595195,11.85352,11.58308,12.87385,26.82992
26/04/1985,12.95537,14.90789,1.47218,11.45803,10.93565,12.2757,26.38578
27/04/1985,9.838734,12.00103,2.678132,8.559664,8.313368,9.688353,24.28704
28/04/1985,7.415667,9.595725,3.235268,6.406401,6.166503,7.8933,23.52367
29/04/1985,7.724486,9.99194,2.430795,6.408054,6.756736,8.255343,23.78145
30/04/1985,7.342498,9.378097,1.974341,5.844688,6.346617,7.810717,23.13361
01/05/1985,9.069213,10.88837,2.085076,9.066144,7.927666,9.86762,23.28588
02/05/1985,11.9516,13.08462,2.486039,11.48941,9.551614,11.48792,22.93186
03/05/1985,12.5429,14.05877,2.696109,11.40367,10.31087,11.98149,23.09304
04/05/1985,12.47797,13.54695,2.202273,11.84812,9.551022,11.73791,22.53394
05/05/1985,13.18319,14.5123,2.332823,12.52924,10.77436,12.56056,23.82338
06/05/1985,12.52242,13.9032,2.39268,11.53842,10.19393,11.69986,23.68481
07/05/1985,12.33741,13.95012,2.036153,11.31794,10.40552,11.95175,23.60452
08/05/1985,12.79581,14.43974,2.893524,11.55065,10.8642,12.08534,24.97947
09/05/1985,12.90468,14.36164,2.153484,12.11719,10.89336,12.3515,24.21052
10/05/1985,13.3366,14.49641,1.821787,12.49116,10.48024,12.28097,24.836
11/05/1985,13.32027,14.72745,1.784015,12.56273,10.73926,12.55953,24.9193
12/05/1985,12.12989,13.86993,1.823338,11.36715,10.26873,11.80318,25.22952
13/05/1985,10.74048,11.86424,1.626988,9.898661,8.494908,10.11712,24.28137
14/05/1985,13.28861,14.53025,2.051364,13.09925,11.03075,12.86883,23.98767
15/05/1985,13.59647,15.16547,2.622676,12.65387,11.41073,12.91714,24.82833
16/05/1985,12.54736,14.22503,1.90555,11.41072,10.50135,11.86256,24.9517
17/05/1985,13.67179,15.477,1.776011,12.73596,11.70139,13.28348,25.56349
18/05/1985,12.22348,13.64848,3.424815,11.31661,10.28241,11.69324,24.80499
19/05/1985,13.14444,14.40543,1.324506,12.15672,10.639,12.16296,24.49436
20/05/1985,11.37387,13.46539,8.227564,10.24403,10.05866,11.10871,24.11958
21/05/1985,13.05599,14.54246,3.651164,11.75197,10.74207,12.07379,25.06591
22/05/1985,11.61235,13.07638,3.487481,10.69496,9.765549,10.94797,24.11829
23/05/1985,13.21115,14.5758,2.210237,12.44713,10.73649,12.46181,24.39414
24/05/1985,12.83486,14.35097,2.327889,11.4997,10.77574,11.89478,24.75265
25/05/1985,12.91534,14.58079,2.771989,11.74795,10.89269,12.0985,24.04193
26/05/1985,13.22564,14.84642,2.038914,12.20449,11.12232,12.50091,23.83812
27/05/1985,13.56675,15.2036,1.653024,12.321,11.22053,12.49283,24.10357
28/05/1985,13.80356,15.39437,1.798215,12.64938,11.47288,12.9714,24.55244
29/05/1985,13.41578,15.20429,1.796794,12.58842,11.6745,13.04815,24.56184
30/05/1985,14.52773,16.24214,2.089511,13.33412,12.13208,13.67014,24.99333
31/05/1985,14.4721,16.03449,1.779556,13.02681,11.71332,13.25745,24.71448
01/06/1985,15.48908,16.26621,0.969802,15.37726,12.77444,14.75314,24.70725
02/06/1985,16.30454,16.87811,0.870259,15.8686,13.11005,14.99828,25.20508
03/06/1985,15.0267,15.63148,2.70936,14.37276,12.22969,13.78979,24.64838
04/06/1985,14.3624,15.04552,2.202064,13.911,11.75346,13.51152,24.45313
05/06/1985,14.52659,14.92906,2.403378,14.41402,11.75385,13.53512,24.49921
06/06/1985,15.60417,16.16322,1.84638,15.36707,12.75634,14.44257,24.73826
07/06/1985,15.21986,16.03182,0.986743,14.5049,12.60182,14.14572,24.69863
08/06/1985,15.40742,16.2716,1.867525,14.82244,12.58364,14.36237,25.18847
09/06/1985,13.63647,14.88091,1.767624,12.88424,11.40956,12.65447,24.55138
10/06/1985,12.0857,13.45083,2.016313,11.52356,10.32346,11.25297,24.71413
11/06/1985,11.84811,13.23259,2.053337,11.3607,10.13247,11.1714,24.14757
12/06/1985,11.08993,12.71415,3.772737,10.51378,9.851904,10.92438,23.94753
13/06/1985,12.98099,13.90126,2.689813,12.05644,10.63279,11.50487,23.24037
14/06/1985,13.38721,14.36791,2.697059,12.69316,10.85492,12.22078,23.54182
15/06/1985,14.43187,15.44366,1.590376,13.74178,11.75414,13.34657,24.29333
16/06/1985,14.14197,15.19009,1.318286,13.64385,11.89404,13.20493,23.60814
17/06/1985,14.71514,15.65628,1.525519,14.28949,12.17842,13.66757,23.77229
18/06/1985,15.33841,16.13247,1.088052,14.72188,12.47821,13.97012,24.18183
19/06/1985,15.30844,16.27582,1.614536,14.68924,12.51258,14.25778,24.08384
20/06/1985,13.91004,15.24846,2.347256,13.50075,11.97093,13.45388,23.92466
21/06/1985,14.62276,15.97201,2.380175,14.14103,12.24931,14.14599,23.84095
22/06/1985,15.08059,16.23195,2.248316,14.47058,12.57355,14.29039,23.13888
23/06/1985,14.88249,15.76785,1.744955,14.33627,12.28829,13.78224,24.25457
24/06/1985,13.45351,14.66866,1.607589,12.88935,11.57954,12.85925,23.12272
25/06/1985,15.48856,16.40102,1.320552,14.72836,12.46948,14.25226,24.24322
